item_code,description,section,image_file,image_present_in_folder,show_on_catalog,show_on_website,linked_group,status
2803035B1063-DQ,Front Bumper L/H Assembly,Front Bumper,2803035B1063.png,YES,Y,Y,FAW TRUCKS,DONE
2803040B1063-DQ,Front Bumper R/H Assembly,Front Bumper,2803040B1063.png,YES,Y,Y,FAW TRUCKS,DONE
2803645B1063,Front Bumper L/H Bracket Assembly,Front Bumper,2803645B1063.png,YES,Y,Y,FAW TRUCKS,DONE
2803650B1063,Front Bumper R/H Bracket Assembly,Front Bumper,2803650B1063.png,YES,Y,Y,FAW TRUCKS,DONE
2803031B1063-G,Front Bumper L/H Decorative Panel,Front Bumper,2803031B1063.png,YES,Y,Y,FAW TRUCKS,DONE
2803032B1063-G,Front Bumper R/H Decorative Panel,Front Bumper,2803032B1063.png,YES,Y,Y,FAW TRUCKS,DONE
2803721B1063-G,Front Bumper L/H Spoiler,Front Bumper,2803721B1063.png,YES,Y,Y,FAW TRUCKS,DONE
2803722B1063-G,Front Bumper R/H Spoiler,Front Bumper,2803722B1063.png,YES,Y,Y,FAW TRUCKS,DONE
2803010B1063-DQ,Front Bumper Centre Assembly,Front Bumper,2803010B1063.png,YES,Y,Y,FAW TRUCKS,DONE
2803731B1063-G,Front Bumper Centre Spoiler,Front Bumper,2803731B1063.png,YES,Y,Y,FAW TRUCKS,PENDING
2803821B1063,Front Bumper Centre Mesh Screen,Front Bumper,2803821B1063.png,YES,Y,Y,FAW TRUCKS,PENDING
2803831B1063,Front Bumper Upper Mesh Screen,Front Bumper,2803831B1063.png,YES,Y,Y,FAW TRUCKS,PENDING
2803091B1063-G,Front Bumper Lower Tow Hook Cover,Front Bumper,2803091B1063.png,YES,Y,Y,FAW TRUCKS,PENDING
2803761B1063,Spoiler L/H Connecting Bracket,Front Bumper,2803761B1063.png,YES,Y,Y,FAW TRUCKS,PENDING
2803762B1063,Spoiler R/H Connecting Bracket,Front Bumper,2803762B1063.png,YES,Y,Y,FAW TRUCKS,PENDING
2803763B1063,Spoiler Centre Connecting Bracket,Front Bumper,2803763B1063.png,YES,Y,Y,FAW TRUCKS,PENDING
2803015B1063-G,Front Bumper Intake Grille Assembly,Front Bumper,2803015B1063.png,YES,Y,Y,FAW TRUCKS,PENDING
2803018B1063,Front Bumper Bug Shield,Front Bumper,2803018B1063.png,YES,Y,Y,FAW TRUCKS,PENDING
2803052B1063,Front Bumper Primary Step,Front Bumper,2803052B1063.png,YES,Y,Y,FAW TRUCKS,PENDING
2803381B1063,Front Bumper Centre Lower L/H Decorative Panel,Front Bumper,2803381B1063.png,YES,Y,Y,FAW TRUCKS,PENDING
2803382B1063,Front Bumper Centre Lower R/H Decorative Panel,Front Bumper,2803382B1063.png,YES,Y,Y,FAW TRUCKS,PENDING
2801070-1063,Front Crossmember Assembly,Chassis,2801070-1063.png,YES,Y,Y,FAW TRUCKS,PENDING
2801090-1066,Front Spring Front Bracket Crossmember Welding Assembly,Chassis,2801090-1066.png,YES,Y,Y,FAW TRUCKS,PENDING
3711015-1544,Front Combination Lamp L/H Assembly,Lighting,3711015-1063.png,YES,Y,Y,FAW TRUCKS,PENDING
3711020-1544,Front Combination Lamp R/H Assembly,Lighting,3711020-1063.png,YES,Y,Y,FAW TRUCKS,PENDING
