Image File,Drawing Key,Parts Covered (#),Part Names
Drw_212.png,Drw_212,"22, 23",Front Crossmember Assembly | Front Spring Front Bracket Crossmember Welding Assembly
Drw_216.png,Drw_216,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16",Front Bumper L/H Assembly | Front Bumper R/H Assembly | Front Bumper L/H Bracket Assembly | Front Bumper R/H Bracket Assembly | Front Bumper L/H Decorative Panel ... (+11 more)
Drw_217.png,Drw_217,"17, 18, 19, 20, 21",Front Bumper Intake Grille Assembly | Front Bumper Bug Shield | Front Bumper Primary Step | Front Bumper Centre Lower L/H Decorative Panel | Front Bumper Centre Lower R/H Decorative Panel
Drw_267.png,Drw_267,"24, 25",Front Combination Lamp L/H Assembly | Front Combination Lamp R/H Assembly
Drw_276.png,Drw_276,"26, 27",Front Fog Lamp L/H Assembly | Front Fog Lamp R/H Assembly
Drw_298.png,Drw_298,"28, 29, 30, 31",Cab Hydraulic Lock Assembly L/H | Cab Hydraulic Lock Assembly R/H | Rear Suspension Air Spring & Shock Absorber Assembly L/H | Rear Suspension Air Spring & Shock Absorber Assembly R/H
Drw_305.png,Drw_305,125,Cab Weld Assembly
Drw_306.png,Drw_306,—,Extra (no parts assigned)
Drw_307.png,Drw_307,126,Front Wall Welding Assembly — Inner Board
Drw_308.png,Drw_308,32,Cab Front Suspension Assembly
Drw_314.png,Drw_314,"33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44",Front Fender L/H | Front Fender R/H | Second Step | Third Step | Front Fender Support Bracket Assembly ... (+7 more)
Drw_319.png,Drw_319,"123, 127",Windscreen Wiper Assembly | Windshield Upper Crossbeam Assembly
Drw_322.png,Drw_322,124,Windscreen Washer Assembly
Drw_325.png,Drw_325,"47, 48, 49, 50",Side Toolbox Cover Assembly L/H | Side Toolbox Cover Assembly R/H | Side Toolbox Sealing Strip L/H | Side Toolbox Sealing Strip R/H
Drw_331.png,Drw_331,"63, 64, 65, 66, 67",Gas Spring Lower Mount Bracket Link Assembly | Gas Spring Lower Mount Bracket Link Base | L/H Handrail Bracket Assembly | R/H Handrail Bracket Assembly | Front Wall Lock Strap Cable Assembly
Drw_332.png,Drw_332,"51, 52, 53, 54, 55, 56, 57, 58, 59",Front Pillar Guard Assembly L/H | Front Pillar Guard Assembly R/H | Front Pillar L/H Lower Hinge Guard | Front Pillar R/H Lower Hinge Guard | L/H Handrail Assembly ... (+4 more)
Drw_333.png,Drw_333,"60, 61, 62",Front Wall Outer Panel Assembly | Gas Spring Assembly — Front Wall | Release Handle Assembly
Drw_339.png,Drw_339,128,Floor Assembly
Drw_368.png,Drw_368,129,Rear Panel Assembly
Drw_373.png,Drw_373,130,Top Cover Welding Assembly
Drw_374.png,Drw_374,"80, 81, 82, 83, 84, 85, 86, 87",Front Door Assembly L/H | Front Door Assembly R/H | Front Door Rear Frame Trim Cover L/H | Front Door Rear Frame Trim Cover R/H | Front Door Lower Trim Panel Assembly L/H ... (+3 more)
Drw_375.png,Drw_375,"88, 89, 90, 91",Front Door Interior Trim Panel Assembly L/H | Front Door Interior Trim Panel Assembly R/H | Front Door Electric Window Lift Module Assembly L/H | Front Door Electric Window Lift Module Assembly R/H
