Item #,Section,Inventory Part No.,Part Name (EN),Side,Catalogue Part No.,Drawing No.,Status,Qty,Unit Price (USD),Unit Price (ZAR),Total Value (ZAR),Warehouse Location,Discrepancy Notes
1,Front Bumper,2803035B1063-DQ,Front Bumper L/H Assembly,L/H,2803035B1063,2803G01B1063,MATCHED,10,59.72,1015.24,10152.4,A1-a,-DQ suffix not in catalogue; base PN matches. Confirm -DQ grade with supplier.
2,Front Bumper,2803040B1063-DQ,Front Bumper R/H Assembly,R/H,2803040B1063,2803G01B1063,MATCHED,5,59.72,1015.24,5076.2,A1-a,-DQ suffix not in catalogue. Ref. 2803035B1063.
3,Front Bumper,2803645B1063,Front Bumper L/H Bracket Assembly,L/H,2803645B1063,2803G01B1063,MATCHED,10,51.16,869.72,8697.2,A1-a,
4,Front Bumper,2803650B1063,Front Bumper R/H Bracket Assembly,R/H,2803650B1063,2803G01B1063,MATCHED,5,51.16,869.72,4348.6,A1-a,Ref. 2803645B1063.
5,Front Bumper,2803031B1063-G,Front Bumper L/H Decorative Panel,L/H,2803031B1063,2803G01B1063,MATCHED,10,3.11,52.87,528.7,A1-b,-G = colour/trim variant. Base PN matches.
6,Front Bumper,2803032B1063-G,Front Bumper R/H Decorative Panel,R/H,2803032B1063,2803G01B1063,MATCHED,5,3.11,52.87,264.35,A1-b,-G colour variant. Ref. 2803031B1063.
7,Front Bumper,2803721B1063-G,Front Bumper L/H Spoiler,L/H,2803721B1063,2803G01B1063,MATCHED,10,3.77,64.09,640.9,A1-b,-G colour variant.
8,Front Bumper,2803722B1063-G,Front Bumper R/H Spoiler,R/H,2803722B1063,2803G01B1063,MATCHED,5,3.77,64.09,320.45,A1-b,-G colour variant. Ref. 2803721B1063.
9,Front Bumper,2803010B1063-DQ,Front Bumper Centre Assembly,CENTRE,2803010B1063,2803G01B1063,MATCHED,10,74.37,1264.29,12642.9,A1-a,-DQ suffix not in catalogue; confirm with supplier.
10,Front Bumper,2803731B1063-G,Front Bumper Centre Spoiler,CENTRE,2803731B1063,2803G01B1063,MATCHED,10,7.15,121.55,1215.5,A1-b,-G colour variant.
11,Front Bumper,2803821B1063,Front Bumper Centre Mesh Screen,CENTRE,2803821B1063,2803G01B1063,MATCHED,10,3.57,60.69,606.9,A1-c,
12,Front Bumper,2803831B1063,Front Bumper Upper Mesh Screen,CENTRE,2803831B1063,2803G01B1063,MATCHED,10,7.81,132.77,1327.7,A1-c,
13,Front Bumper,2803091B1063-G,Front Bumper Lower Tow Hook Cover,CENTRE,2803091B1063,2803G01B1063,MATCHED,10,0.28,4.76,47.6,A1-d,-G colour variant.
14,Front Bumper,2803761B1063,Spoiler L/H Connecting Bracket,L/H,2803761B1063,2803G01B1063,MATCHED,3,1,17,51,A1-d,
